host	sub	surf	E_tot	n_host	n_sub	surf_area(A^2)	
Au	Tl	100	-49.865703	14	2	8.72598069	1ML
Ag	Te	100	-45.056301	14	2	8.741743202	1ML
Au	Sb	100	-53.172261	14	2	8.753187862	1ML
Co	As	110	-108.29587	14	2	8.776364621	1ML
Co	Tl	110	-101.28389	14	2	8.778543637	1ML
Co	In	110	-102.37002	14	2	8.79045168	1ML
Ni	Ga	110	-83.88033	14	2	8.798290658	1ML
Ni	Hg	110	-76.572995	14	2	8.800748517	1ML
Co	Pb	110	-103.85344	14	2	8.810072405	1ML
Co	Hg	110	-97.623616	14	2	8.818761785	1ML
Ni	As	110	-87.038257	14	2	8.827282972	1ML
Ni	Tl	110	-68.927052	14	2	8.860940353	1ML
Cu	Zn	110	-53.464854	14	2	8.865835617	1ML
Au	Sn	100	-53.539432	14	2	8.86805232	1ML
Ni	Cd	110	-78.32103	14	2	8.869532576	1ML
Co	Ge	110	-107.78045	14	2	8.872979103	1ML
Ni	Ge	110	-87.043675	14	2	8.881883852	1ML
Co	Sb	110	-105.72691	14	2	8.881956958	1ML
Co	Sn	110	-105.4981	14	2	8.895838157	1ML
Ni	Sn	110	-84.545275	14	2	8.913749226	1ML
Ag	Bi	100	-46.615973	14	2	8.951135197	1ML
Au	Pb	100	-52.429361	14	2	8.966413678	1ML
Cu	Bi	100	-58.360513	14	2	9.021874996	1ML
Cu	Hg	110	-51.162531	14	2	9.025955957	1ML
Ni	Pb	110	-83.15771	14	2	9.027428818	1ML
Cu	Cd	110	-52.735778	14	2	9.029120814	1ML
Co	Bi	110	-104.50129	14	2	9.043672488	1ML
Ni	Sb	110	-84.644312	14	2	9.065939809	1ML
Cu	Ga	110	-57.513615	14	2	9.097394267	1ML
Co	Te	110	-102.80242	14	2	9.144259607	1ML
Ni	Bi	110	-83.824784	14	2	9.163212675	1ML
Pt	Bi	100	-91.615229	14	2	9.176416482	1ML
Au	Bi	111	-29.855604	7	2	9.177847595	1ML
Cu	As	110	-60.752097	14	2	9.202461644	1ML
Ni	Te	110	-82.63316	14	2	9.259380686	1ML
Cu	Ge	110	-60.348597	14	2	9.27791132	1ML
Cu	Sn	110	-58.894976	14	2	9.279806162	1ML
