host	sub	surf	E_tot	n_host	n_sub	latt_a	latt_b	surf_area(A^2)	type
Cu	Pb	100	-.11578039E+03	30	2	5.109250681317	2.636392056	13.469987908336728	truelinear
Cu	Pb	110	-.11675215E+03	30	2	5.108492179519	3.589321027	18.336018396212605	linearlong
Cu	Pb	110	-.11506886E+03	30	2	7.007713721208	2.639383404	18.49604329573948	linearshort
Cu	Pb	110	-.11688494E+03	30	2	4.400445817072	4.398609603763927	18.320213851059144	zigzag
Cu	Pb	111	-.13114900E+03	34	2	5.093973210459	5.093973210459363	22.472114809348213	linear
Cu	Pb	111	-.13114348E+03	34	2	4.414296132108	5.096943147	22.49941641937648	zigzag
Cu	Sb	100	-.11860608E+03	30	2	3.620350358	3.627083687	13.13131372472641	linear
Cu	Sb	100	-.11727025E+03	30	2	5.101036867509	2.641279253	13.473262846939633	truelinear
Cu	Sb	110	-.11827800E+03	30	2	5.103411076549	3.598055968	18.362358681134438	linearlong
Cu	Sb	110	-.11669916E+03	30	2	6.889860345971	2.673211145	18.418051464343232	linearshort
Cu	Sb	110	-.11853380E+03	30	2	4.417769068115	4.416806835292774	18.45014230830157	zigzag
Cu	Sb	111	-.13281413E+03	34	2	5.076242487767	5.0762424877666295	22.31594854089063	linear
Cu	Sb	111	-.13286102E+03	34	2	4.410856300508	5.099941175001	22.495107663973332	zigzag
Cu	Te	100	-.11694489E+03	30	2	3.637954786	3.642507284	13.251276806867661	linear
Cu	Te	110	-.11650515E+03	30	2	5.078939650897	3.62723727	18.422519193814388	linearlong
Cu	Te	110	-.11457207E+03	30	2	6.959440211257	2.658598211	18.502355295209323	linearshort
Cu	Te	110	-.11697048E+03	30	2	4.384053399962	4.386839156180478	18.253582060662374	zigzag
Cu	Te	111	-.13118364E+03	34	2	5.088691839387	5.088691839387506	22.42554132051566	linear
Cu	Te	111	-.13123901E+03	34	2	4.386802287939	5.093078084003	22.34232659155634	zigzag
Cu	Hg	100	-.11028520E+03	30	2	3.613106489	3.613677969	13.056603318950241	linear
Cu	Hg	100	-.10980332E+03	30	2	5.112348190564	2.586682451	13.224021347933503	truelinear
Cu	Hg	110	-.10939179E+03	30	2	5.132751301905	3.579766915	18.374053293482696	linearlong
Cu	Hg	110	-.10900485E+03	30	2	7.061019863055	2.59344114	18.312339403204003	linearshort
Cu	Hg	110	-.10939249E+03	30	2	4.396879711984	4.3976240643791575	18.3240873565158	zigzag
Cu	Hg	111	-.12386686E+03	34	2	5.082504247156	5.08250424715652	22.37103782650013	linear
Cu	Hg	111	-.12389255E+03	34	2	4.407156897435	5.09610069	22.45931530595676	zigzag
Cu	Cd	100	-.11172564E+03	30	2	3.60981518	3.610147502	13.03196525475868	linear
Cu	Cd	100	-.11119501E+03	30	2	5.10743710303	2.570887663	13.130647037728286	truelinear
Cu	Cd	110	-.11069556E+03	30	2	5.136178608396	3.573589164	18.354592219332545	linearlong
Cu	Cd	110	-.11041070E+03	30	2	7.081965111695	2.590021906	18.34244477681779	linearshort
Cu	Cd	110	-.11074752E+03	30	2	4.374458169395	4.374880093512792	18.231423546846074	zigzag
Cu	Cd	111	-.12518852E+03	34	2	5.093284213002	5.093284213002032	22.466036181837598	linear
Cu	Cd	111	-.12516099E+03	34	2	4.403076522602	5.101771653006	22.463490989027118	zigzag
Cu	Tl	100	-.11443370E+03	30	2	3.607133098	3.606249531	13.008222042917076	linear
Cu	Tl	100	-.11311370E+03	30	2	5.129959577381	2.607335644	13.375526458384657	truelinear
Cu	Tl	110	-.11355671E+03	30	2	5.110897136061	3.556332573	18.17604996222615	linearlong
Cu	Tl	110	-.11262554E+03	30	2	7.070359694138	2.604020026	18.411358234558588	linearshort
Cu	Tl	110	-.11367446E+03	30	2	4.374998604894	4.3737916609509275	18.133134458135	zigzag
Cu	Tl	111	-.12815359E+03	34	2	5.092568936803	5.092568936802831	22.459726582004503	linear
Cu	Tl	111	-.12807581E+03	34	2	4.397934247123	5.090290802	22.386764245931	zigzag
Cu	Ge	100	-.11927577E+03	30	2	3.604861339	3.600226482	12.97831725660578	linear
Cu	Ge	100	-.11903169E+03	30	2	5.100472734937	2.577706602	13.147522242168101	truelinear
Cu	Ge	110	-.11865866E+03	30	2	5.101621448667	3.605558856	18.39419639420085	linearlong
Cu	Ge	110	-.11815088E+03	30	2	7.211738780031	2.572975093	18.55562425824197	linearshort
Cu	Ge	110	-.11875361E+03	30	2	4.430680655776	4.430666242675126	18.476904113712724	zigzag
Cu	Ge	111	-.13333239E+03	34	2	5.086902486392	5.086902486392263	22.409772963632197	linear
Cu	Ge	111	-.13342108E+03	34	2	4.403160132776	5.111789034	22.50802568167034	zigzag
Cu	As	100	-.11979497E+03	30	2	3.608116709	3.604662594	13.006043335718683	linear
Cu	As	100	-.11919841E+03	30	2	5.068136718959	2.573381079	13.042247138354229	truelinear
Cu	As	110	-.11918227E+03	30	2	5.051441818931	3.607291686	18.222024075742514	linearlong
Cu	As	110	-.11847732E+03	30	2	7.136543092951	2.572703864	18.360211990837552	linearshort
Cu	As	110	-.11948475E+03	30	2	4.407228136267	4.404505754403825	18.272628721587026	zigzag
Cu	As	111	-.13349375E+03	34	2	5.081225992153	5.081225992153867	22.359786563860975	linear
Cu	As	111	-.13367602E+03	34	2	4.392321464445	5.082505366002	22.323997412247472	zigzag
Co	Sn	100	-.21900569E+03	30	2	3.505251254	3.506344958	12.290620060986077	linear
Co	Sn	100	-.21733274E+03	30	2	4.970951130716	2.558018809	12.715786490991347	truelinear
Co	Sn	110	-.21817404E+03	30	2	4.961230758799	3.491124402	17.320273765996166	linearlong
Co	Sn	110	-.21622438E+03	30	2	6.947466891097	2.525767841	17.547688449945053	linearshort
Co	Sn	110	-.21824656E+03	30	2	4.27455505114	4.275754195979626	17.267643729987807	zigzag
Co	Sn	111	-.24549494E+03	34	2	4.938975091141	4.93897509114017	21.12536899406519	linear
Co	Sn	111	-.24569616E+03	34	2	4.276959715168	4.949749418	21.169878860962253	zigzag
Co	Ga	100	-.21742611E+03	30	2	3.503405524	3.503448937	12.274002358937729	linear
Co	Ga	100	-.21683687E+03	30	2	4.958315068657	2.493860728	12.365347226774317	truelinear
Co	Ga	110	-.21611448E+03	30	2	4.961137704838	3.50839779	17.40564455953931	linearlong
Co	Ga	110	-.21565956E+03	30	2	7.004387842591	2.488329354	17.429223875519916	linearshort
Co	Ga	110	-.21614669E+03	30	2	4.293405598962	4.293629516945311	17.395953986276233	zigzag
Co	Ga	111	-.24377482E+03	34	2	4.963941291701	4.963941291700224	21.339483553057526	linear
Co	Ga	111	-.24398585E+03	34	2	4.287676582777	4.950108376	21.224463765983486	zigzag
Co	Zn	100	-.21164723E+03	30	2	3.504097587	3.504142953	12.278858866110355	linear
Co	Zn	100	-.21268786E+03	30	2	4.959910663058	2.477802112	12.289677116256433	truelinear
